Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,standardised_smiles,Identifier
Chlorbufam,-3.629,1.0,223.659,1.0,1.0,2.0,38.33,-2.617,C#CC(C)OC(O)=Nc1cccc(Cl)c1,[742]
Ethisterone,-3.858,1.0,312.45300000000003,1.0,4.0,0.0,37.3,-5.66,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,[185]
Norethisterone,-2.669,1.0,314.42500000000007,2.0,4.0,0.0,57.53,-4.57,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(O)C3CCC21C,[995]
Danazol,-4.557,1.0,337.4630000000001,1.0,5.0,0.0,46.260000000000005,-5.507000000000001,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,[552]
Ethinyl estradiol,-4.317,1.0,296.41,2.0,4.0,0.0,40.46,-4.3,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,[816]
norethindrone acetate,-4.2410000000000005,1.0,340.4630000000001,0.0,4.0,1.0,43.370000000000005,-4.8,C#CC1(OC(C)=O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,[1084]
1-Butyne,-1.092,1.0,54.09199999999999,0.0,0.0,0.0,0.0,-1.24,C#CCC,[506]
1-Pentyne,-1.446,1.0,68.11899999999999,0.0,0.0,1.0,0.0,-1.64,C#CCCC,[786]
1-Hexyne ,-1.801,1.0,82.14599999999999,0.0,0.0,2.0,0.0,-2.36,C#CCCCC,[196]
1-Heptyne,-2.155,1.0,96.173,0.0,0.0,3.0,0.0,-3.01,C#CCCCCC,[811]
1-Octyne ,-2.509,1.0,110.2,0.0,0.0,4.0,0.0,-3.66,C#CCCCCCC,[50]
1-Nonyne ,-2.864,1.0,124.227,0.0,0.0,5.0,0.0,-4.24,C#CCCCCCCC,[197]
t-Crotonaldehyde,-0.604,1.0,70.09100000000001,0.0,0.0,1.0,17.07,0.32,C/C=C/C=O,[356]
trans-2-Pentene ,-2.076,1.0,70.135,0.0,0.0,1.0,0.0,-2.54,C/C=C/CC,[140]
trans-2-Heptene ,-2.784,1.0,98.18899999999998,0.0,0.0,3.0,0.0,-3.82,C/C=C/CCCC,[821]
cis-2-Pentene,-2.076,1.0,70.135,0.0,0.0,1.0,0.0,-2.54,C/C=C\CC,[1091]
"1,4-Cyclohexadiene",-1.842,2.0,80.12999999999998,0.0,1.0,0.0,0.0,-2.06,C1=CCC=CC1,[955]
Cyclopentene ,-1.72,2.0,68.11900000000001,0.0,1.0,0.0,0.0,-2.1,C1=CCCC1,[732]
Cyclohexene,-2.16,2.0,82.146,0.0,1.0,0.0,0.0,-2.59,C1=CCCCC1,[363]
Cycloheptene,-2.599,2.0,96.173,0.0,1.0,0.0,0.0,-3.18,C1=CCCCCC1,[1059]
Acenapthylene,-3.682,2.0,152.19599999999994,0.0,3.0,0.0,0.0,-3.96,C1=Cc2cccc3cccc1c23,[634]
Decalin,-3.715,2.0,138.254,0.0,2.0,0.0,0.0,-5.19,C1CCC2CCCCC2C1,[1002]
Cyclopentane ,-2.0380000000000003,2.0,70.135,0.0,1.0,0.0,0.0,-2.64,C1CCCC1,[594]
Cyclohexane,-2.477,2.0,84.162,0.0,1.0,0.0,0.0,-3.1,C1CCCCC1,[431]
Cycloheptane,-2.9160000000000004,2.0,98.189,0.0,1.0,0.0,0.0,-3.51,C1CCCCCC1,[331]
Cyclooctane,-3.355,2.0,112.216,0.0,1.0,0.0,0.0,-4.15,C1CCCCCCC1,[771]
Tetrahydrofurane ,-0.62,2.0,72.107,0.0,1.0,0.0,9.23,0.49,C1CCOC1,[415]
Tetrahydropyran ,-0.978,2.0,86.134,0.0,1.0,0.0,9.23,-0.03,C1CCOCC1,[810]
Ethylene,-0.815,1.0,28.053999999999995,0.0,0.0,0.0,0.0,-0.4,C=C,[689]
butallylonal,-2.766,1.0,303.156,2.0,1.0,4.0,75.27000000000001,-2.647,C=C(Br)CC1(C(C)CC)C(O)=NC(=O)N=C1O,[900]
2-Methylpropene,-1.5730000000000002,1.0,56.108,0.0,0.0,0.0,0.0,-2.33,C=C(C)C,[526]
"2,3-Dimethyl-1,3-Butadiene",-2.052,1.0,82.146,0.0,0.0,1.0,0.0,-2.4,C=C(C)C(=C)C,[528]
Carvone,-2.042,1.0,150.22099999999998,0.0,1.0,1.0,17.07,-2.06,C=C(C)C1C=CC(C)C(=O)C1,[217]
d-Limonene,-3.429,1.0,136.238,0.0,1.0,1.0,0.0,-4.26,C=C(C)C1CC=C(C)CC1,[134]
Rotenone,-5.246,1.0,394.4230000000002,0.0,5.0,3.0,63.22,-4.42,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,[9]
2-Methyl-1-Butene,-1.994,1.0,70.13499999999999,0.0,0.0,1.0,0.0,-2.73,C=C(C)CC,[641]
2-Methyl-1-Pentene,-2.3480000000000003,1.0,84.16199999999999,0.0,0.0,2.0,0.0,-3.03,C=C(C)CCC,[120]
Ethalfluralin,-5.063,1.0,333.266,0.0,1.0,6.0,89.51999999999998,-6.124,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],[169]
Sulfallate,-3.254,1.0,223.794,0.0,0.0,4.0,3.24,-3.39,C=C(Cl)CSC(=S)N(CC)CC,[1087]
"1,1-Dichloroethylene",-1.939,1.0,96.944,0.0,0.0,0.0,0.0,-1.64,C=C(Cl)Cl,[33]
Propylene,-1.235,1.0,42.081,0.0,0.0,0.0,0.0,-1.08,C=CC,[1108]
Acrylonitrile,-0.354,1.0,53.06399999999999,0.0,0.0,0.0,23.79,0.15,C=CC#N,[1007]
"2-Methyl-1,3-Butadiene ",-1.714,1.0,68.11900000000001,0.0,0.0,1.0,0.0,-2.03,C=CC(=C)C,[227]
Methyl acrylate,-0.878,1.0,86.09,0.0,0.0,1.0,26.3,-0.22,C=CC(=O)OC,[1020]
linalool,-2.399,1.0,154.253,1.0,0.0,4.0,20.23,-1.99,C=CC(C)(O)CCC=C(C)C,[228]
3-Methyl-1-Butene,-1.994,1.0,70.135,0.0,0.0,1.0,0.0,-2.73,C=CC(C)C,[598]
1-Hexene-3-ol,-1.199,1.0,100.161,1.0,0.0,3.0,20.23,-0.59,C=CC(O)CCC,[921]
Vinclozolin,-4.377,1.0,286.11400000000003,0.0,2.0,2.0,46.61,-4.925,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,[863]
"1,3-Butadiene",-1.376,1.0,54.09199999999999,0.0,0.0,1.0,0.0,-1.87,C=CC=C,[154]
Acrolein,-0.184,1.0,56.064,0.0,0.0,1.0,17.07,0.57,C=CC=O,[205]
1-Butene,-1.655,1.0,56.108,0.0,0.0,1.0,0.0,-1.94,C=CCC,[667]
5-Allyl-5-isopropylbarbital,-1.706,1.0,210.233,2.0,1.0,3.0,75.27000000000001,-1.7080000000000002,C=CCC1(C(C)C)C(O)=NC(=O)N=C1O,[649]
Talbutal,-2.06,1.0,224.26,2.0,1.0,4.0,75.27000000000001,-2.016,C=CCC1(C(C)CC)C(O)=NC(=O)N=C1O,[273]
Secobarbital,-2.415,1.0,238.28699999999995,2.0,1.0,5.0,75.27000000000001,-2.356,C=CCC1(C(C)CCC)C(O)=NC(=O)N=C1O,[425]
thiamylal,-3.063,1.0,254.355,2.0,1.0,5.0,58.2,-3.46,C=CCC1(C(C)CCC)C(O)=NC(=S)N=C1O,[91]
5-Allyl-5-methylbarbital,-1.013,1.0,182.179,2.0,1.0,2.0,75.27000000000001,-1.16,C=CCC1(C)C(O)=NC(=O)N=C1O,[231]
5-Allyl-5-ethylbarbital,-1.368,1.0,196.206,2.0,1.0,3.0,75.27000000000001,-1.614,C=CCC1(CC)C(O)=NC(=O)N=C1O,[691]
"5,5-Diallylbarbital",-1.471,1.0,208.217,2.0,1.0,4.0,75.27000000000001,-2.077,C=CCC1(CC=C)C(O)=NC(=O)N=C1O,[772]
5-Allyl-5-phenylbarbital,-2.36,1.0,244.25,2.0,2.0,3.0,75.27000000000001,-2.369,C=CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,[73]
"1,4-Pentadiene ",-1.758,1.0,68.119,0.0,0.0,2.0,0.0,-2.09,C=CCC=C,[882]
1-Pentene ,-2.01,1.0,70.135,0.0,0.0,2.0,0.0,-2.68,C=CCCC,[12]
"1,5-Hexadiene ",-2.112,1.0,82.14599999999999,0.0,0.0,3.0,0.0,-2.68,C=CCCC=C,[942]
1-Hexene,-2.364,1.0,84.16199999999999,0.0,0.0,3.0,0.0,-3.23,C=CCCCC,[945]
1-Heptene,-2.718,1.0,98.189,0.0,0.0,4.0,0.0,-3.73,C=CCCCCC,[569]
1-Octene ,-3.073,1.0,112.216,0.0,0.0,5.0,0.0,-4.44,C=CCCCCCC,[384]
1-Nonene ,-3.427,1.0,126.243,0.0,0.0,6.0,0.0,-5.05,C=CCCCCCCC,[444]
1-Decene,-3.781,1.0,140.26999999999998,0.0,0.0,7.0,0.0,-5.51,C=CCCCCCCCC,[124]
4-Pentene-1-ol,-0.7909999999999999,1.0,86.134,1.0,0.0,3.0,20.23,-0.15,C=CCCCO,[41]
allicin,-2.045,1.0,162.27899999999997,0.0,0.0,5.0,17.07,-0.83,C=CCSS(=O)CC=C,[848]
Eugenol,-2.675,1.0,164.204,1.0,1.0,3.0,29.46,-1.56,C=CCc1ccc(O)c(OC)c1,[648]
Estragole,-3.074,1.0,148.205,0.0,1.0,3.0,9.23,-2.92,C=CCc1ccc(OC)cc1,[596]
Chloroethylene,-1.188,1.0,62.499,0.0,0.0,0.0,0.0,-1.75,C=CCl,[720]
Ethyl vinyl ether,-0.857,1.0,72.10700000000001,0.0,0.0,2.0,9.23,-0.85,C=COCC,[505]
Styrene,-2.85,1.0,104.15199999999996,0.0,1.0,1.0,0.0,-2.82,C=Cc1ccccc1,[839]
Bromomethane,-1.109,1.0,94.939,0.0,0.0,0.0,0.0,-0.79,CBr,[581]
Ethane,-1.132,1.0,30.07,0.0,0.0,0.0,0.0,-1.36,CC,[600]
Acetonitrile,0.152,1.0,41.053,0.0,0.0,0.0,23.79,0.26,CC#N,[516]
Acetamide,0.494,1.0,59.068,1.0,0.0,0.0,43.09,1.58,CC(=N)O,[605]
"3,3-Dimethyl-2-butanone",-1.25,1.0,100.161,0.0,0.0,0.0,17.07,-0.72,CC(=O)C(C)(C)C,[238]
3-Methyl-2-butanone,-0.912,1.0,86.13399999999999,0.0,0.0,1.0,17.07,-0.12,CC(=O)C(C)C,[974]
Medrogestone,-4.593,1.0,340.5070000000001,0.0,4.0,1.0,34.14,-5.27,CC(=O)C1(C)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,[756]
Fluoromethalone,-3.507,1.0,376.4680000000001,2.0,4.0,1.0,74.6,-4.099,CC(=O)C1(O)CCC2C3CC(C)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,[1070]
Hydroxyprogesterone-17a,-3.876,1.0,330.4680000000001,1.0,4.0,1.0,54.37,-3.817,CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,[541]
Progesterone,-4.17,1.0,314.46900000000005,0.0,4.0,1.0,34.14,-4.42,CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,[420]
pregnenolone,-4.342,1.0,316.48500000000007,1.0,4.0,1.0,37.3,-4.65,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,[172]
4-Methyl-2-pentanone,-1.1840000000000002,1.0,100.161,0.0,0.0,2.0,17.07,-0.74,CC(=O)CC(C)C,[269]
Coumachlor,-4.553999999999999,1.0,342.7780000000001,1.0,3.0,4.0,67.50999999999999,-5.839,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,[583]
Warfarin,-3.913,1.0,308.3330000000001,1.0,3.0,4.0,67.50999999999999,-3.893,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,[561]
kebuzone,-2.645,1.0,322.36400000000003,0.0,3.0,5.0,57.690000000000005,-3.27,CC(=O)CCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,[710]
"N,N-Dimethylacetamide",0.123,1.0,87.12199999999999,0.0,0.0,0.0,20.31,1.11,CC(=O)N(C)C,[687]
acetyl sulfisoxazole,-2.024,1.0,293.34800000000007,1.0,2.0,3.0,89.43,-3.59,CC(=O)N(c1onc(C)c1C)S(=O)c1ccc(N)cc1,[518]
Isopropyl acetate,-1.1909999999999998,1.0,102.133,0.0,0.0,1.0,26.3,-0.55,CC(=O)OC(C)C,[713]
megestrol acetate,-4.417,1.0,384.5160000000002,0.0,4.0,2.0,60.440000000000005,-5.35,CC(=O)OC1(C(C)=O)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,[254]
methyltestosterone acetate,-4.863,1.0,344.4950000000001,0.0,4.0,1.0,43.370000000000005,-5.284,CC(=O)OC1(C)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,[961]
testosterone acetate,-4.449,1.0,330.4680000000001,0.0,4.0,1.0,43.370000000000005,-5.184,CC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,[451]
dexamethasone acetate,-3.933,1.0,434.5040000000003,2.0,4.0,3.0,100.9,-4.9,CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,[1067]
triamcinolone diacetate,-3.876,1.0,478.51300000000026,2.0,4.0,4.0,127.20000000000002,-4.13,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,[266]
prednisolone acetate,-3.507,1.0,402.48700000000014,2.0,4.0,3.0,100.90000000000002,-4.37,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,[711]
cortisone acetate,-3.426,1.0,402.48700000000025,1.0,4.0,3.0,97.74,-4.21,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C,[702]
Hydrocortisone 21-acetate,-3.692,1.0,404.5030000000002,2.0,4.0,3.0,100.90000000000002,-4.88,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,[883]
deoxycorticosterone acetate,-4.472,1.0,372.5050000000002,0.0,4.0,3.0,60.440000000000005,-4.63,CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,[405]
Isobutyl acetate,-1.463,1.0,116.15999999999998,0.0,0.0,2.0,26.3,-1.21,CC(=O)OCC(C)C,[1118]
Glyceryl triacetate,-1.285,1.0,218.205,0.0,0.0,5.0,78.9,-0.6,CC(=O)OCC(COC(C)=O)OC(C)=O,[125]
Isopentyl acetate,-1.817,1.0,130.18699999999998,0.0,0.0,3.0,26.3,-1.92,CC(=O)OCCC(C)C,[75]
3-Ethanoyloxymethylphenytoin,-2.7230000000000003,1.0,324.33600000000007,1.0,3.0,4.0,75.71,-4.47,CC(=O)OCN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1O,[510]
Spironolactone,-3.842,1.0,416.58300000000025,0.0,5.0,1.0,60.44,-4.173,CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,[1039]
Acetophenone,-2.0780000000000003,1.0,120.15099999999995,0.0,1.0,1.0,17.07,-1.28,CC(=O)c1ccccc1,[794]
Triadimefon,-4.132,1.0,293.754,0.0,2.0,4.0,57.010000000000005,-3.61,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,[1106]
"3,3-Dimethyl-1-butanol",-1.365,1.0,102.177,1.0,0.0,1.0,20.23,-0.5,CC(C)(C)CCO,[690]
"2,2-Dimethylpropanol",-1.011,1.0,88.14999999999999,1.0,0.0,0.0,20.23,-0.4,CC(C)(C)CO,[1105]
t-Pentylbenzene,-3.867,1.0,148.249,0.0,1.0,1.0,0.0,-4.15,CC(C)(C)Cc1ccccc1,[464]
p-t-Butylphenol,-3.192,1.0,150.22099999999998,1.0,1.0,0.0,20.23,-2.41,CC(C)(C)c1ccc(O)cc1,[136]
t-Butylbenzene ,-3.554,1.0,134.22199999999998,0.0,1.0,0.0,0.0,-3.66,CC(C)(C)c1ccccc1,[709]
phenothrin,-6.763,1.0,350.4580000000001,0.0,3.0,6.0,35.53,-5.24,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,[986]
Nerol,-2.603,1.0,154.253,1.0,0.0,4.0,20.23,-2.46,CC(C)=CCC/C(C)=C\CO,[165]
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,-2.465,1.0,238.287,2.0,1.0,3.0,75.27000000000001,-2.593,CC(C)=CCC1(C(C)C)C(O)=NC(=O)N=C1O,[1036]
citral,-2.579,1.0,152.237,0.0,0.0,4.0,17.07,-2.06,CC(C)=CCCC(C)=CC=O,[2]
2-Bromopropane,-1.949,1.0,122.993,0.0,0.0,0.0,0.0,-1.59,CC(C)Br,[490]
2-Methylpropane,-1.891,1.0,58.124,0.0,0.0,0.0,0.0,-2.55,CC(C)C,[108]
"2,4-Dimethyl-3-pentanone",-1.7519999999999998,1.0,114.18799999999996,0.0,0.0,2.0,17.07,-1.3,CC(C)C(=O)C(C)C,[1035]
Flucythrinate,-6.877999999999999,1.0,451.4690000000001,0.0,3.0,9.0,68.55000000000001,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,[86]
"2,2,3-Trimethylbutane",-2.922,1.0,100.20499999999998,0.0,0.0,0.0,0.0,-4.36,CC(C)C(C)(C)C,[1119]
"2,3-Dimethylbutane",-2.584,1.0,86.178,0.0,0.0,1.0,0.0,-3.65,CC(C)C(C)C,[666]
"2,3,4-Trimethylpentane",-3.276,1.0,114.232,0.0,0.0,2.0,0.0,-4.8,CC(C)C(C)C(C)C,[121]
3-Methyl-2-butanol,-0.954,1.0,88.14999999999999,1.0,0.0,1.0,20.23,-0.18,CC(C)C(C)O,[470]
Fluvalinate,-8.057,1.0,502.9200000000002,1.0,3.0,8.0,71.35,-8.003,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,[482]
"2,4-Dimethyl-3-pentanol",-1.6469999999999998,1.0,116.20399999999998,1.0,0.0,2.0,20.23,-1.22,CC(C)C(O)C(C)C,[255]
"5,5-Diisopropylbarbital",-1.942,1.0,212.249,2.0,1.0,2.0,75.27000000000001,-2.766,CC(C)C1(C(C)C)C(O)=NC(=O)N=C1O,[282]
1-Bromo-2-methylpropane,-2.2880000000000003,1.0,137.01999999999998,0.0,0.0,1.0,0.0,-2.43,CC(C)CBr,[474]
"2,2,4-Trimethylpentane",-3.276,1.0,114.232,0.0,0.0,1.0,0.0,-4.74,CC(C)CC(C)(C)C,[491]
"2,4-Dimethyl-2-pentanol ",-1.6469999999999998,1.0,116.20399999999998,1.0,0.0,2.0,20.23,-0.92,CC(C)CC(C)(C)O,[873]
"2,4-Dimethylpentane",-2.938,1.0,100.20499999999998,0.0,0.0,2.0,0.0,-4.26,CC(C)CC(C)C,[335]
4-Methyl-2-pentanol,-1.308,1.0,102.17699999999998,1.0,0.0,2.0,20.23,-0.8,CC(C)CC(C)O,[1103]
"2,2,5-Trimethylhexane",-3.631,1.0,128.259,0.0,0.0,2.0,0.0,-5.05,CC(C)CCC(C)(C)C,[56]
diisooctyl phthalate,-7.117000000000001,1.0,390.5640000000002,0.0,1.0,14.0,52.60000000000001,-6.6370000000000005,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,[965]
4-Methylpentanol,-1.381,1.0,102.177,1.0,0.0,3.0,20.23,-1.14,CC(C)CCCO,[994]
3-Methylbutan-1-ol,-1.027,1.0,88.14999999999999,1.0,0.0,2.0,20.23,-0.51,CC(C)CCO,[524]
Isopentyl formate,-1.449,1.0,116.15999999999998,0.0,0.0,4.0,26.3,-1.52,CC(C)CCOC=O,[793]
1-Chloro-2-methylpropane,-1.924,1.0,92.569,0.0,0.0,1.0,0.0,-2.0,CC(C)CCl,[815]
isocarbamid,-1.508,1.0,185.227,2.0,1.0,2.0,61.440000000000005,-2.15,CC(C)CN=C(O)N1CCN=C1O,[515]
2-Methylpropan-1-ol,-0.672,1.0,74.12299999999999,1.0,0.0,1.0,20.23,0.1,CC(C)CO,[1073]
Isobutyl formate,-1.095,1.0,102.13299999999998,0.0,0.0,3.0,26.3,-1.01,CC(C)COC=O,[856]
Isobutylbenzene,-3.57,1.0,134.22199999999998,0.0,1.0,2.0,0.0,-4.12,CC(C)Cc1ccccc1,[1074]
2-Chloropropane,-1.585,1.0,78.542,0.0,0.0,0.0,0.0,-1.41,CC(C)Cl,[15]
2-Iodopropane,-2.486,1.0,169.993,0.0,0.0,0.0,0.0,-2.09,CC(C)I,[972]
propachlor,-3.018,1.0,211.69200000000004,0.0,1.0,3.0,20.31,-2.48,CC(C)N(C(=O)CCl)c1ccccc1,[838]
Triallate,-4.578,1.0,304.67,0.0,0.0,4.0,20.31,-4.88,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,[941]
Diallate,-3.827,1.0,270.225,0.0,0.0,4.0,20.31,-4.2860000000000005,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,[1056]
Rovral,-4.004,1.0,330.17100000000005,1.0,2.0,2.0,69.72,-4.376,CC(C)N=C(O)n1cc(O)n(-c2cc(Cl)cc(Cl)c2)c1=O,[832]
Propazine,-3.329,1.0,229.71500000000003,2.0,1.0,4.0,62.73,-4.43,CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,[894]
2-Propanol,-0.261,1.0,60.096,1.0,0.0,0.0,20.23,0.43,CC(C)O,[350]
bromopropylate,-5.832999999999999,1.0,428.12000000000006,1.0,2.0,4.0,46.53,-4.93,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,[996]
chloropropylate,-5.093,1.0,339.21800000000013,1.0,2.0,4.0,46.53,-4.53,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1,[694]
Diisopropyl ether ,-1.281,1.0,102.177,0.0,0.0,2.0,9.23,-1.1,CC(C)OC(C)C,[199]
Chloropham,-3.544,1.0,213.664,1.0,1.0,2.0,38.33,-3.38,CC(C)OC(O)=Nc1cccc(Cl)c1,[950]
Isopropyl formate,-0.684,1.0,88.106,0.0,0.0,2.0,26.3,-0.63,CC(C)OC=O,[44]
Bensulide,-4.99,1.0,397.52400000000006,1.0,1.0,10.0,64.63,-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,[330]
Oxadiazon,-5.265,1.0,345.22600000000017,0.0,2.0,3.0,57.26,-5.696000000000001,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,[195]
Diisopropylsulfide,-2.162,1.0,118.245,0.0,0.0,2.0,0.0,-2.24,CC(C)SC(C)C,[698]
2-Nitropropane,-0.743,1.0,89.094,0.0,0.0,1.0,43.14,-0.62,CC(C)[N+](=O)[O-],[800]
Isoproturon,-2.867,1.0,206.289,1.0,1.0,2.0,32.34,-3.536,CC(C)c1ccc(NC(=O)N(C)C)cc1,[325]
Isopropylbenzene ,-3.265,1.0,120.19499999999996,0.0,1.0,1.0,0.0,-3.27,CC(C)c1ccccc1,[99]
"1,1,1-Trichloroethane",-2.232,1.0,133.405,0.0,0.0,0.0,0.0,-2.0,CC(Cl)(Cl)Cl,[826]
"1,2-Dichloropropane",-1.794,1.0,112.987,0.0,0.0,1.0,0.0,-1.6,CC(Cl)CCl,[958]
"1,1-Dichloroethane",-1.5759999999999998,1.0,98.96,0.0,0.0,0.0,0.0,-1.29,CC(Cl)Cl,[301]
Mefluidide,-3.165,1.0,310.297,2.0,1.0,3.0,75.27000000000001,-3.24,CC(O)=Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,[1089]
p-Bromoacetanilide,-3.012,1.0,214.062,1.0,1.0,1.0,29.1,-3.083,CC(O)=Nc1ccc(Br)cc1,[46]
p-Chloroacetanilide,-2.642,1.0,169.611,1.0,1.0,1.0,29.1,-2.843,CC(O)=Nc1ccc(Cl)cc1,[878]
p-Fluoroacetanilide,-2.181,1.0,153.156,1.0,1.0,1.0,29.1,-1.78,CC(O)=Nc1ccc(F)cc1,[361]
p-Hydroxyacetanilide,-1.495,1.0,151.165,2.0,1.0,1.0,49.33,-1.03,CC(O)=Nc1ccc(O)cc1,[915]
4-Nitroacetanilide,-2.219,1.0,180.163,1.0,1.0,2.0,72.24000000000001,-2.692,CC(O)=Nc1ccc([N+](=O)[O-])cc1,[913]
Acetanilide,-1.857,1.0,135.16599999999997,1.0,1.0,1.0,29.1,-1.33,CC(O)=Nc1ccccc1,[789]
acetazolamide,-0.7929999999999999,1.0,222.251,2.0,1.0,2.0,115.04,-2.36,CC(O)=Nc1nnc(S(N)(=O)=O)s1,[412]
