FDA_APPROVED,CT_TOX,standardised_smiles,Identifier
1.0,0.0,C=CCC1(C(C)CC)C(O)=NC(=O)N=C1O,[1107]
1.0,0.0,C=CCC1(C(C)CCC)C(O)=NC(=O)N=C1O,[1184]
1.0,0.0,C=CCC1(C(C)CCC)C(O)=NC(=S)N=C1O,[1182]
1.0,0.0,C=CCC1(CC(C)C)C(O)=NC(=O)N=C1O,[746]
1.0,0.0,C=CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,[416]
1.0,0.0,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,[1174]
1.0,0.0,C=CCN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,[1173]
1.0,0.0,C=CCNCCCCCC[N+](C)(C)C,[546]
1.0,0.0,C=CCOc1ccccc1OCC(O)CNC(C)C,[722]
1.0,0.0,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,[833]
1.0,0.0,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1,[1130]
1.0,0.0,C=CN1CCCC1=O,[1302]
1.0,0.0,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,[1455]
1.0,0.0,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,[1456]
1.0,0.0,C=C[C@]1(C)C[C@@H](OC(=O)CSC2C[C@H]3CC[C@@H](C2)N3C)[C@@]2(C)C3C(=O)CC[C@@]3(CC[C@H]2C)[C@@H](C)[C@@H]1O,[429]
1.0,0.0,C=Cc1c(C)c2[nH]c1=Cc1[nH]c(c(=CCC(=O)O)c1C)=Cc1[nH]c(c(C)c1CCC(=O)OC)C=C1N=C(C=2)C2=CC=C(C(=O)OC)C(C(=O)OC)[C@@]12C,[959]
1.0,0.0,C=c1cc(C)[nH]c1=Cc1c(O)[nH]c2ccccc12,[962]
1.0,0.0,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,[653]
1.0,0.0,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,[654]
1.0,0.0,CC#C[C@]1(O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)C[C@@]21C,[652]
1.0,0.0,CC(=CC(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,[498]
1.0,0.0,CC(=NO)C(C)NCC(C)(C)CNC(C)C(C)=NO,[392]
1.0,0.0,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,[795]
1.0,0.0,CC(=O)C(N=C(O)[C@@H]1CSSC[C@H](N=C(O)[C@H](N)Cc2ccc3ccccc3c2)C(O)=N[C@@H](Cc2ccc(O)cc2)C(O)=N[C@H](Cc2c[nH]c3ccccc23)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](C(C)C)C(O)=N1)C(N)O,[494]
1.0,0.0,CC(=O)C(O)Nc1c(I)c(C(O)=NC(CO)CO)c(I)c(C(O)=NC(CO)CO)c1I,[396]
1.0,0.0,CC(=O)C(O)O,[658]
1.0,0.0,CC(=O)C1CC[C@H]2C3=CC=C4CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,[797]
1.0,0.0,CC(=O)C1CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,[535]
1.0,0.0,CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,[798]
1.0,0.0,CC(=O)C1N=C(O)C(CCCCN)N=C(O)C(Cc2c[nH]c3ccccc23)N=C(O)C(Cc2ccccc2)N=C(O)C(N=C(O)C(N)Cc2ccccc2)CSSCC(C(O)=NC(CO)C(C)O)NC1O,[767]
1.0,0.0,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,[805]
1.0,0.0,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,[807]
1.0,0.0,CC(=O)N(C)c1c(I)c(N=C(C)O)c(I)c(C(=O)O)c1I,[821]
1.0,0.0,CC(=O)N(C)c1c(I)c(N=C(C)O)c(I)c(C(O)=N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c1I,[822]
1.0,0.0,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,[787]
1.0,0.0,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(O)=NCC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I)c1c(I)c(C(O)=NCC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I,[809]
1.0,0.0,CC(=O)N(CC(O)CO)c1c(I)c(C(O)=NCC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I,[810]
1.0,0.0,CC(=O)N(CC(O)CO)c1c(I)c(C(O)=NCCO)c(I)c(C(O)=NCC(O)CO)c1I,[811]
1.0,0.0,CC(=O)N(O)CCCCCN=C(O)CCC(=O)N(O)CCCCCN=C(O)CCC(=O)N(O)CCCCCN,[812]
1.0,0.0,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,[947]
0.0,0.0,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,"[813, 814]"
1.0,0.0,CC(=O)O,[800]
1.0,0.0,CC(=O)OC(C)C[N+](C)(C)C,[775]
1.0,1.0,CC(=O)OC1=C2C(C)[C@@H](OC(=O)C(O)C(N=C(O)c3ccccc3)c3ccccc3)C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)C2(C)C,[952]
1.0,0.0,CC(=O)OC=C1CSC2C(N=C(O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,[854]
1.0,0.0,CC(=O)OC=C1CSC2C(N=C(O)CSc3ccncc3)C(=O)N2C1C(=O)O,[856]
1.0,0.0,CC(=O)OC=C1CSC2C(N=C(O)Cc3cccs3)C(=O)N2C1C(=O)O,[855]
1.0,0.0,CC(=O)OCC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,[852]
1.0,0.0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)C3C(=O)C[C@@]21C,[851]
1.0,0.0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,[849]
1.0,0.0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,[850]
1.0,0.0,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,[538]
1.0,0.0,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CC(F)=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,[422]
1.0,0.0,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3CC(F)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,[530]
1.0,0.0,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CC(F)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,[847]
1.0,0.0,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,[848]
1.0,0.0,CC(=O)OCC(CCn1cnc2c[nH]c(=N)nc21)COC(C)=O,[846]
1.0,0.0,CC(=O)OCC[N+](C)(C)C,[857]
1.0,1.0,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(N=C(O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,[953]
1.0,0.0,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,"[838, 839]"
1.0,0.0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,[836]
1.0,0.0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,[835]
1.0,0.0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,[834]
1.0,0.0,CC(=O)O[C@H]1C[C@H](OC2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)C(c7coc(O)c7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,[414]
0.0,1.0,CC(=O)O[C@H]1Cc2ccccc2N(C(=N)O)c2ccccc21,[837]
1.0,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)C[C@@]21C,[796]
1.0,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3=CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,[960]
1.0,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,[532]
1.0,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,[529]
1.0,0.0,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,[900]
1.0,0.0,CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,[899]
1.0,0.0,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,[966]
1.0,0.0,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,[841]
1.0,0.0,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,[842]
1.0,0.0,CC(=O)Oc1ccccc1C(=O)O,"[843, 845]"
1.0,0.0,CC(=O)Oc1ccccc1C(O)=Nc1ncc([N+](=O)[O-])s1,[844]
1.0,0.0,CC(=O)S[C@@H]1C=C2CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,[858]
1.0,0.0,CC(=O)[C@@]1(O)C=C(O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(c(O)c3c(O)c4ccccc4c(O)c3c2O)C1,[525]
1.0,0.0,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,[531]
1.0,0.0,CC(=O)c1ccc(S(=O)(=O)NC(O)=NC2CCCCC2)cc1,[802]
1.0,0.0,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,[803]
1.0,0.0,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,[804]
1.0,0.0,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,[769]
1.0,0.0,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,[771]
1.0,0.0,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,[772]
1.0,0.0,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,[773]
1.0,1.0,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,"[663, 664]"
1.0,0.0,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,[690]
1.0,0.0,CC(C)(C(=O)c1cccnc1)c1cccnc1,[692]
1.0,0.0,CC(C)(C)C(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,[888]
1.0,1.0,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,[682]
1.0,0.0,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,[454]
1.0,0.0,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,[448]
1.0,0.0,CC(C)(C)CC(C)(C)c1ccc(O)cc1,[687]
1.0,0.0,CC(C)(C)N=C(O)C1CC[C@H]2[C@@H]3CC[C@H]4N=C(O)C=C[C@]4(C)[C@H]3CC[C@]12C,[464]
1.0,0.0,CC(C)(C)N=C(O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(O)=N[C@H]1c2ccccc2C[C@H]1O,[689]
1.0,0.0,CC(C)(C)N=C(O)C1C[C@@H]2CCCC[C@@H]2CN1CC(=O)C(Cc1ccccc1)N=C(O)C(CC(N)O)NC(=O)c1ccc2ccccc2n1,[688]
1.0,0.0,CC(C)(C)NC(O)=NC(C(=O)N1C[C@H]2[C@@H](C1C(O)=NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,[875]
1.0,0.0,CC(C)(C)NCC(O)COc1cccc2c1CCC(O)=N2,[678]
1.0,0.0,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,[677]
1.0,0.0,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,[674]
1.0,0.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,[675]
1.0,0.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,[676]
1.0,0.0,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,[672]
1.0,0.0,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,[673]
1.0,0.0,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,[671]
1.0,0.0,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,[670]
1.0,0.0,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,[685]
1.0,0.0,CC(C)(CO)C(=O)C(O)NCCC(=O)O,[696]
1.0,0.0,CC(C)(CO)C(=O)C(O)NCCCO,[697]
1.0,0.0,CC(C)(N)Cc1ccc(Cl)cc1,[693]
1.0,0.0,CC(C)(N)Cc1ccccc1,[695]
1.0,0.0,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[691]
1.0,0.0,CC(C)(ON=C(C(O)=NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12)c1csc(=N)[nH]1)C(=O)[O-],[666]
1.0,0.0,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,[667]
1.0,0.0,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(O)=NCCS(=O)(=O)O,[668]
1.0,0.0,CC(C)(S)C(N)C(=O)O,[662]
1.0,0.0,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,[683]
1.0,0.0,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3[nH]c-2cc1=Nc1ccc(Cl)cc1,[699]
1.0,0.0,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,[527]
1.0,0.0,CC(C)=c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1=CC[C@@H](O)C[C@@H](O)CC(=O)O,[731]
1.0,0.0,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,[728]
1.0,0.0,CC(C)C(N)C(=O)OCC(CO)OCn1cnc2c(O)nc(=N)[nH]c21,[700]
1.0,0.0,CC(C)C(N)C(=O)OCCOCn1cnc2c(O)nc(=N)[nH]c21,"[701, 702]"
1.0,0.0,CC(C)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,[726]
1.0,0.0,CC(C)C1CCC(C(O)=NC(Cc2ccccc2)C(=O)O)CC1,[655]
1.0,0.0,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,[745]
0.0,1.0,CC(C)CC(N=C(O)C(CCc1ccccc1)N=C(O)CN1CCOCC1)C(O)=N[C@@H](Cc1ccccc1)C(O)=N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,[737]
1.0,0.0,CC(C)CC(N=C(O)C(COC(C)(C)C)N=C(O)C(Cc1ccc(O)cc1)N=C(O)C(CO)N=C(O)C(Cc1c[nH]c2ccccc12)N=C(O)C(Cc1cnc[nH]1)N=C(O)C1CCC(O)=N1)C(O)=NC(CCCNC(=N)N)C(=O)N1CCCC1C(O)=NNC(=N)O,[743]
1.0,0.0,CC(C)CC(N=C(O)C(Cc1ccc2ccccc2c1)N=C(O)C(Cc1ccc(O)cc1)N=C(O)C(CO)N=C(O)C(Cc1c[nH]c2ccccc12)N=C(O)C(Cc1cnc[nH]1)N=C(O)C1CCC(O)=N1)C(O)=NC(CCCNC(=N)N)C(=O)N1CCCC1C(O)=NCC(=N)O,[744]
1.0,0.0,CC(C)CC(N=C(O)CN=C(O)[C@H](Cc1ccc(O)cc1)N=C(O)[C@H](CO)N=C(O)[C@H](Cc1c[nH]c2ccccc12)N=C(O)[C@H](Cc1cnc[nH]1)N=C(O)[C@@H]1CCC(O)=N1)C(O)=N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(O)=NCC(=N)O,[739]
0.0,1.0,CC(C)CC(N=C(O)[C@@H](COC(C)(C)C)N=C(O)[C@H](Cc1ccc(O)cc1)N=C(O)[C@H](CO)N=C(O)[C@H](Cc1c[nH]c2ccccc12)N=C(O)[C@H](Cc1cnc[nH]1)N=C(O)[C@@H]1CCC(O)=N1)C(O)=N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(O)=NNC(=N)O,[740]
1.0,0.0,CC(C)CC(N=C(O)[C@@H](Cc1c[nH]c2ccccc12)N=C(O)[C@H](Cc1ccc(O)cc1)N=C(O)[C@H](CO)N=C(O)[C@H](Cc1c[nH]c2ccccc12)N=C(O)[C@H](Cc1cnc[nH]1)N=C(O)[C@@H]1CCC(O)=N1)C(O)=N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(O)=NCC(=N)O,[738]
1.0,0.0,CC(C)CC(N=C(O)[C@H](C)N=C(O)CN=C(O)[C@@H](N=CO)C(C)C)C(O)=N[C@@H](C)C(O)=N[C@@H](C(O)=N[C@H](C(O)=N[C@H](C(O)=N[C@@H](Cc1c[nH]c2ccccc12)C(O)=N[C@H](CC(C)C)C(O)=N[C@@H](Cc1c[nH]c2ccccc12)C(O)=N[C@H](CC(C)C)C(O)=N[C@@H](Cc1c[nH]c2ccccc12)C(O)=N[C@H](CC(C)C)C(O)=N[C@@H](Cc1c[nH]c2ccccc12)C(O)=NCCO)C(C)C)C(C)C)C(C)C,[395]
1.0,0.0,CC(C)CC1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](N=C(O)C3=CC4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,[742]
1.0,0.0,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,[749]
