Hepatobiliary disorders,Metabolism and nutrition disorders,Product issues,Eye disorders,Investigations,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Social circumstances,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications",standardised_smiles,Identifier
0,1.0,0,1.0,1.0,0.0,1.0,0,1,1,1.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,[2]
1,1.0,0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,[971]
0,0.0,0,1.0,1.0,1.0,1.0,0,0,0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,1.0,1.0,0.0,C#N,"[191, 696, 1161]"
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,0.0,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(O)=N1,[1291]
1,1.0,0,1.0,1.0,1.0,1.0,1,0,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,[950]
0,0.0,0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,C1N2CN3CN1CN(C2)C3,[788]
1,1.0,0,1.0,1.0,0.0,1.0,0,0,0,0.0,1.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1.0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,[556]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,[42]
0,1.0,0,1.0,1.0,1.0,1.0,0,0,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O,[1244]
0,1.0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O,[368]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,0,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,[369]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)CN)C8OC)OC7C6O3)C5O4,[1344]
0,1.0,0,0.0,1.0,1.0,1.0,1,0,0,0.0,1.0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.0,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,[544]
1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,[864]
0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,C=C1CCN(C(C)C(O)(Cn2cncn2)c2ccc(F)cc2F)CC1,[1197]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,[457]
1,1.0,1,0.0,1.0,0.0,1.0,0,1,0,1.0,1.0,0.0,0,0.0,1,1.0,0.0,1.0,0.0,1.0,1.0,0,0.0,0.0,1.0,0.0,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(O)nc(=N)[nH]c21,[1268]
0,1.0,0,1.0,1.0,1.0,1.0,0,0,0,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,[962]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,0.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,0.0,1.0,1.0,C=CC(N)CCC(=O)O,[1173]
1,0.0,0,0.0,1.0,0.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.0,C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(=N)[nH]3)C2SC1,[405]
1,1.0,0,0.0,1.0,1.0,1.0,1,1,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(=N)[nH]3)C2SC1,[155]
0,1.0,0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,C=CC1=C(C)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5C=C)c(C)c4CCC(=O)O)c(CCC(=O)O)c3C,[1036]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,[159]
0,0.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,C=CCC1(C(C)C#CCC)C(=O)N(C)C(=O)N=C1O,[132]
1,0.0,0,0.0,1.0,0.0,1.0,1,1,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,C=CCC1(C(C)CCC)C(O)=NC(=O)N=C1O,[1048]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,[1081]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,0.0,0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,1.0,C=CCN1CC(C(=O)N(CCCN(C)C)C(O)=NCC)CC2c3cccc4[nH]cc(c34)CC21,[364]
0,0.0,0,0.0,1.0,0.0,1.0,0,0,1,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,[865]
0,1.0,0,1.0,0.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,C=CCOc1ccccc1OCC(O)CNC(C)C,[920]
0,0.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,C=CC[N+]1([C@H]2CC3C4CCC5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)C4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,[574]
0,0.0,0,0.0,1.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,C=C[C@]1(C)C[C@@H](OC(=O)CSC2C[C@H]3CC[C@@H](C2)N3C)[C@@]2(C)C3C(=O)CC[C@@]3(CC[C@H]2C)[C@@H](C)[C@@H]1O,[861]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,C=Cc1c(C)c2[nH]c1=Cc1[nH]c(c(=CCC(=O)O)c1C)=Cc1[nH]c(c(C)c1CCC(=O)OC)C=C1N=C(C=2)C2=CC=C(C(=O)OC)C(C(=O)OC)[C@@]12C,[973]
0,1.0,0,0.0,0.0,0.0,1.0,0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,C=Cc1ccccc1S(=O)(=O)O,[960]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,C=c1cc(C)[nH]c1=Cc1c(O)[nH]c2ccccc12,[23]
0,1.0,0,0.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,0,1.0,0,1.0,0.0,1.0,1.0,1.0,0.0,1,0.0,0.0,1.0,1.0,CC#CC1(O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C,[817]
0,0.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,1,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,0.0,CC#CCC(C)[C@H](O)C=CC1[C@H](O)C[C@@H]2CC(=CCCCC(=O)O)C[C@H]12,[1256]
0,1.0,0,0.0,1.0,1.0,1.0,0,1,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,[713]
0,0.0,0,1.0,1.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,[833]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,[900]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,CC(=O)C(N=C(O)C1CSSCC(N=C(O)C(N)Cc2ccc3ccccc3c2)C(O)=NC(Cc2ccc(O)cc2)C(O)=NC(Cc2c[nH]c3ccccc23)C(O)=NC(CCCCN)C(O)=NC(C(C)C)C(O)=N1)C(N)O,[1199]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CC(=O)C(O)Nc1c(I)c(C(O)=NC(CO)CO)c(I)c(C(O)=NC(CO)CO)c1I,[688]
0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CC(=O)C(O)O,"[86, 1016]"
1,1.0,0,0.0,1.0,0.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0,1.0,1.0,1.0,CC(=O)C1(O)C=C(OC2CC(N)C(O)C(C)O2)c2c(c(O)c3c(O)c4ccccc4c(O)c3c2O)C1,[676]
0,0.0,0,0.0,0.0,0.0,1.0,0,0,1,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,CC(=O)C1(O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C,[202]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,1,1.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,CC(=O)C1(O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,[485]
0,0.0,0,1.0,0.0,0.0,0.0,0,1,0,0.0,1.0,1.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,CC(=O)C1(O)CCC2C3CC(C)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,[592]
0,0.0,0,1.0,0.0,0.0,0.0,0,1,0,0.0,1.0,1.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,CC(=O)C1CCC2C3CC(C)=C4CC(=O)CCC4(C)C3C(O)CC12C,[1400]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,[995]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,CC(=O)C1N=C(O)C(CCCCN)N=C(O)C(Cc2c[nH]c3ccccc23)N=C(O)C(Cc2ccccc2)N=C(O)C(N=C(O)C(N)Cc2ccccc2)CSSCC(C(O)=N[C@H](CO)[C@@H](C)O)NC1O,[1056]
1,0.0,0,0.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1.0,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,[842]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,0,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,1.0,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,[947]
1,1.0,0,0.0,1.0,0.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,CC(=O)C[C@@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,[1402]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(O)=NCC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I)c1c(I)c(C(O)=NCC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I,[686]
0,0.0,0,1.0,1.0,1.0,1.0,0,1,0,0.0,1.0,1.0,0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,CC(=O)N(CC(O)CO)c1c(I)c(C(O)=NCC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I,[687]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,1,1.0,0,1.0,0.0,1.0,1.0,0.0,1.0,0,1.0,1.0,1.0,0.0,CC(=O)N(CC(O)CO)c1c(I)c(C(O)=NCCO)c(I)c(C(O)=NCC(O)CO)c1I,[695]
1,0.0,0,1.0,1.0,1.0,1.0,1,1,0,0.0,1.0,0.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CC(=O)N(O)CCCCCN=C(O)CCC(=O)N(O)CCCCCN=C(O)CCC(=O)N(O)CCCCCN,[477]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,1.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,[715]
1,1.0,0,1.0,1.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1.0,CC(=O)N=c1sc(S([NH3+])(=O)=O)nn1C,[228]
0,1.0,0,0.0,0.0,0.0,1.0,0,0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,CC(=O)O,"[34, 146]"
0,0.0,0,0.0,0.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0,1.0,1.0,CC(=O)OC(C)C[N+](C)(C)C,[365]
0,1.0,0,0.0,1.0,0.0,1.0,0,0,1,1.0,1.0,1.0,0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,0.0,CC(=O)OC1(C(C)=O)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,[772]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,1.0,0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,[467]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,CC(=O)OC1(C(C)=O)CCC2C3CC(C)=C4CC(=O)CCC4(C)C3CCC21C,[768]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(N=C(O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,[514]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,1,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,1.0,1.0,1.0,CC(=O)OC1=C(C(CCC=C(C)C)C(=O)O)C2CC(O)C3C4(C)CCC(O)C(C)C4CCC3(C)C2(C)C1,[841]
1,1.0,0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,0.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(N=C(O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,[927]
0,0.0,0,0.0,0.0,1.0,1.0,0,1,0,0.0,1.0,0.0,1,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,[929]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,1.0,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,[983]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3(F)C(O)CC21C,[584]
0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,[495]
0,1.0,0,1.0,0.0,0.0,0.0,0,1,0,0.0,1.0,1.0,0,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C,[733]
0,0.0,0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,1.0,0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C,[266]
0,1.0,0,1.0,1.0,1.0,1.0,0,1,1,0.0,1.0,1.0,0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,[1206]
1,1.0,0,1.0,1.0,1.0,1.0,0,0,1,0.0,1.0,0.0,0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CC(=O)OCC(CCn1cnc2c[nH]c(=N)nc21)COC(C)=O,[650]
0,0.0,0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,CC(=O)OCC[N+](C)(C)C,[35]
0,0.0,0,0.0,1.0,1.0,0.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,1.0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,[1319]
1,1.0,0,1.0,1.0,1.0,1.0,0,1,0,0.0,1.0,1.0,1,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,CC(=O)O[C@H]1Cc2ccccc2N(C(=N)O)c2ccccc21,[1337]
0,0.0,0,1.0,0.0,1.0,1.0,0,1,0,0.0,1.0,0.0,0,1.0,0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,0.0,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,[1315]
