logS,standardised_smiles,Identifier
-3.82,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,[652]
,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,"[1189, 1647]"
-6.0,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,[2396]
-5.15,CC(CCC(O)=NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,[777]
-2.003,CC(CCl)OC(C)CCl,[2001]
,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,"[1207, 1442]"
-3.637,CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1,[3275]
0.545,CC(Cl)(Cl)C(=O)O,[1562]
-0.605,CC(Cl)=CC(=O)O,[3007]
-2.69,CC(Cl)C(C)(C)Cl,[481]
,CC(Cl)C(C)Cl,"[482, 3024]"
-1.315,CC(F)F,[1541]
0.27,CC(N)C(=O)O,[2365]
,CC(N)CC(=O)O,"[10, 2508]"
-0.46,CC(N)c1ccccc1,[1825]
-0.9,CC(O)=NC(=N)O,[161]
-0.649,CC(O)=NCC(=O)O,[2513]
-2.321,CC(O)=NCc1c(I)c(N=C(C)O)c(I)c(C(=O)O)c1I,[2398]
,CC(O)=NS(=O)(=O)c1ccc(N)cc1,"[202, 2310]"
-1.58,CC(O)=Nc1ccc(C=O)cc1,[259]
-3.25,CC(O)=Nc1ccc(I)cc1,[567]
-0.98,CC(O)=Nc1ccc(N)cc1,[170]
-5.358,CC(O)=Nc1ccc(N=Nc2cc(C)ccc2O)cc1,[2939]
,CC(O)=Nc1ccc(S(N)(=O)=O)cc1,"[268, 2179]"
-4.625,CC(O)=Nc1ccc2c(c1)Cc1ccccc1-2,[1359]
,CC(O)=Nc1cccc(C)c1,"[358, 2493]"
,CC(O)=Nc1ccccc1Cl,"[226, 2481]"
,CC(O)=Nc1ccccc1O,"[395, 2657]"
,CC(O)=Nc1ccccc1[N+](=O)[O-],"[1024, 2528]"
1.045,CC(O)C(C)O,[2458]
-0.757,CC(O)C(Cl)(Cl)Cl,[1563]
0.3,CC(O)C(F)(F)F,[900]
0.815,CC(O)CNCC(C)O,[2084]
1.119,CC(O)CO,[1396]
-0.938,CC(OP(C)(=O)F)C(C)(C)C,[1800]
-3.579,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,[1750]
,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,"[441, 2168]"
-2.22,CC(Oc1ccccc1Cl)C(=O)O,[389]
-1.42,CC1(C(=O)O)CCC(C(=O)O)C1(C)C,[987]
-2.6,CC1(C)C(=O)N(Cl)C(=O)N1Cl,[1093]
-3.207,CC1(C)Cc2cccc([N+](=O)[O-])c2O1,[3041]
-1.634,CC1(O)CCC(C(C)(C)O)CC1,[1633]
-3.816,CC12C(=O)OC(=O)C1(C)C1CCC2O1,[1370]
-3.59,CC12CC(O)C3C(CCC4CC(O)CCC43C)C1CCC2=O,[1157]
-3.85,CC12CCC(=O)C=C1CCC1C2C2CC3(C(O)O2)C(C(=O)CO)CCC13,[1182]
-6.7,CC12CCC3C(CCC4CCCCC43C)C1CCC2=O,[814]
-1.215,CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(N)C3C=CCCC3)C2SC1,[3197]
-4.552,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,[3180]
,CC1=C2CC(=O)C=CC2(C)C2C(O)CC3(C)C(CCC3(O)C(=O)CO)C2C1,"[1122, 1646]"
-1.889,CC1=CCC(C(C)(C)O)CC1,[1820]
-3.21,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3=CCC(=O)O1)CC(O)C2C(=O)O,[1138]
,CC1CCC(C)(C)C1,"[1225, 2977]"
,CC1CCC(O)CC1,"[157, 2598]"
-7.32,CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,[851]
,CC1CCCC(=O)C1,"[319, 2606]"
-4.853,CC1CCCC(C)(C)C1,[2949]
-0.94,CC1CCCCC1=O,[950]
0.09,CC1CCOC1,[3042]
-0.065,CC1CN(N=O)CC(C)O1,[2820]
,CC1CNC(C)CN1,"[34, 2938]"
,CC1CNCCN1,"[24, 2028]"
0.2339999999999999,CC1COC(=O)O1,[1989]
-0.072,CC1OC(C)OC(C)O1,[2214]
-3.955,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,[2414]
-2.87,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(=N)O)C(=O)C(N(C)C)C3C(O)C21,[508]
-0.429,CC=CC#N,[2983]
0.0,CC=CC(=O)O,[2965]
,CC=CC=CC(=O)O,"[301, 2066]"
,CC=CCC,"[450, 2041]"
-0.96,CC=CCC#N,[166]
,CC=CCCCC,"[1180, 2619]"
-1.957,CC=CCCl,[2614]
1.356,CC=O,[1524]
-2.745,CCC#CC(C)C,[3171]
-0.81,CCC(=O)C(C)C,[2557]
,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,"[639, 3248]"
1.13,CCC(=O)O,[1616]
-1.29,CCC(=O)OC(C)C,[2732]
,CCC(=O)c1ccc(N)cc1,"[470, 1490]"
,CCC(=O)c1ccccc1,"[312, 1745]"
0.732,CCC(C(=O)O)C(=O)O,[2638]
-2.99,CCC(C)(C)c1ccc(O)cc1,[1632]
,CCC(C)(C)c1ccccc1,"[678, 2872]"
-1.56,CCC(C)(CC)OC(=N)O,[1593]
-1.27,CCC(C)(O)C(C)(C)C,[206]
,CCC(C)(O)C(C)C,"[945, 2626]"
-1.685,CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,[1572]
-4.678,CCC(C)C(C)(C)C,[2552]
-0.89,CCC(C)C(C)(C)O,[946]
-2.366,CCC(C)C(C)(COC(=N)O)COC(=N)O,[1462]
,CCC(C)C(C)O,"[126, 2554]"
-0.581,CCC(C)C(N)C(=O)O,[1504]
-2.51,CCC(C)C(O)C(C)CC,[3089]
0.185,CCC(C)N,[3049]
-5.048,CCC(C)N(C(=O)SCc1ccccc1)C(C)CC,[3174]
-5.47,CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],[3152]
-0.73,CCC(C)OC,[3012]
-1.273,CCC(C)OC(C)=O,[1918]
-2.194,CCC(C)c1ccc(O)cc1,[1848]
,CCC(C)c1ccccc1,"[654, 2273]"
-2.497,CCC(C)c1ccccc1OC(O)=NC,[2968]
,CCC(CC)C(=O)O,"[940, 1690]"
-5.972,CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],[3204]
,CCC(Cl)CC,"[1097, 2665]"
-1.189,CCC(Cl)[N+](=O)[O-],[2636]
0.31,CCC(N)C(=O)O,[44]
,CCC(N)Cc1c[nH]c2ccccc12,"[1089, 2895]"
-1.92,CCC(O)=Nc1ccccc1,[333]
,CCC(O)C(C)(C)C,"[964, 2972]"
-2.64,CCC1(C2=CC3CCC(C2)C3)C(O)=NC(=O)N=C1O,[1098]
,CCC1(C2=CCCCCC2)C(O)=NC(=O)N=C1O,"[524, 2453]"
-2.82,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,[502]
-2.63,CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12,[1096]
-0.086,CCC1CO1,[1946]
-3.613,CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,[3259]
-0.321,CCCC#N,[2045]
0.272,CCCC(=N)O,[2507]
,CCCC(=O)O,"[76, 1976]"
-0.88,CCCC(C(C)=O)C(C)=O,[158]
-4.022,CCCC(C)(C)C(=O)Nc1ccc(Cl)cc1,[3022]
-2.938,CCCC(C)(COC(=N)O)COC(O)=NC(C)C,[1595]
-4.45,CCCC(C)C(O)=Nc1ccc(C)c(Cl)c1,[2900]
-4.306,CCCC(C)CC,[2591]
,CCCC(C)Cl,"[471, 2692]"
-2.419,CCCC(CC)(CC)CO,[3053]
,CCCC(CCC)C(=O)O,"[317, 1847]"
,CCCC(Cl)Cl,"[429, 2506]"
-1.32,CCCC(O)C(C)C,[2670]
,CCCC(O)C(CC)CO,"[108, 1768]"
-2.549,CCCC1(CCC)C(O)=NC(=O)N=C1O,[2893]
,CCCC1CCCCN1,"[998, 2405]"
-0.902,CCCCC(=O)CC,[1929]
-1.56,CCCCC(=O)CC(C)=O,[254]
-0.416,CCCCC(=O)O,[2033]
-4.811,CCCCC(C)(C)CCC,[3069]
-4.596,CCCCC(C)C,[2611]
-1.72,CCCCC(C)C(C)O,[291]
-1.858,CCCCC(CC)C(=O)O,[2319]
-3.172,CCCCC(CC)CCl,[2199]
,CCCCC(CC)CN,"[1014, 1909]"
-2.49,CCCCC(O)CCCC,[2684]
,CCCCCC(=O)O,"[960, 2301]"
-2.47,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,[1308]
-1.664,CCCCCCC(=O)O,[2087]
,CCCCCCC=O,"[287, 2104]"
,CCCCCCCC(=O)O,"[400, 2225]"
,CCCCCCCC=O,"[415, 2228]"
-3.299,CCCCCCCCC#N,[2896]
,CCCCCCCCC(=O)O,"[492, 2112]"
,CCCCCCCCC=O,"[1135, 2230]"
,CCCCCCCCCC(=O)O,"[602, 2378]"
,CCCCCCCCCCC(=O)O,"[1156, 2118]"
-6.41,CCCCCCCCCCCC,[2120]
,CCCCCCCCCCCC(=O)O,"[740, 2307]"
-3.813,CCCCCCCCCCCCC(=O)O,[2734]
,CCCCCCCCCCCCCC(=O)O,"[793, 2518]"
-4.31,CCCCCCCCCCCCCCC(=O)O,[706]
,CCCCCCCCCCCCCCCC(=O)O,"[1268, 1385]"
-5.68,CCCCCCCCCCCCCCCCCC(=O)O,[812]
-7.506,CCCCCCCCCCCCCCCCCO,[2819]
-4.67,CCCCCCCCCCCCN1CCCC1=O,[2936]
-4.376,CCCCCCCCCCCCn1cc(C(O)OC)cc1O,[3299]
-6.001,CCCCCCCCCOC(=O)c1ccc(N)cc1,[3175]
-5.769,CCCCCCCCCc1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,[3264]
-2.75,CCCCCCCCN,[1106]
-3.3,CCCCCCCCOC(=N)O,[1146]
,CCCCCCCCOC(=O)c1ccc(N)cc1,"[796, 3059]"
-6.46,CCCCCCCCc1ccccc1,[2890]
-1.85,CCCCCCCN,[1017]
-2.62,CCCCCCCOC(=N)O,[467]
,CCCCCCCOC(=O)c1ccc(N)cc1,"[735, 3058]"
-4.072,CCCCCCCOC(=O)c1ccc(O)cc1,[2806]
,CCCCCCN,"[961, 2093]"
-1.92,CCCCCCOC(=N)O,[331]
-3.95,CCCCCCOC(=O)c1ccc(N)cc1,[656]
-3.949,CCCCCCOC(=O)c1ccc(O)cc1,[2805]
,CCCCCCOC(C)=O,"[1079, 2305]"
-1.169,CCCCCCOCCO,[2114]
-1.456,CCCCCCn1cc(C(O)O)cc1O,[3319]
1.06,CCCCCN,[2070]
-3.27,CCCCCNCCOC(=O)c1ccc(N)cc1,[571]
-1.47,CCCCCOC(=N)O,[992]
-2.467,CCCCCOC(=O)CCC,[2499]
-3.26,CCCCCOC(=O)c1ccc(N)cc1,[569]
1.136,CCCCN,[2044]
-0.7,CCCCN(C)N=O,[3018]
-1.035,CCCCN(CC)N=O,[2978]
,CCCCN(CCCC)CCCC,"[544, 1891]"
-2.096,CCCCN(CCCC)N=O,[2781]
,CCCCN=C(O)NS(=O)(=O)c1ccc(C)cc1,"[595, 1464]"
,CCCCN=C(O)NS(=O)(=O)c1ccc(N)cc1,"[380, 2379]"
-3.05,CCCCN=C(O)NS(=O)(=O)c1ccccc1,[533]
-2.446,CCCCN=C(O)n1cc(F)c(O)nc1=O,[3262]
,CCCCNCCCC,"[232, 2110]"
,CCCCOC(=N)O,"[116, 2615]"
-0.563,CCCCOC(=O)C(C)O,[2279]
-5.584,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,[3280]
-3.888,CCCCOC(=O)C1(O)c2ccccc2-c2ccccc21,[2903]
-1.938,CCCCOC(=O)CC,[2600]
-2.46,CCCCOC(=O)CCC,[2032]
-4.583,CCCCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,[3269]
,CCCCOC(=O)c1ccc(O)cc1,"[487, 1761]"
,CCCCOC(=O)c1ccccc1,"[605, 2274]"
,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,"[808, 1663]"
,CCCCOC(C)=O,"[203, 2219]"
-0.8140000000000001,CCCCOCC1CO1,[2912]
-1.94,CCCCOCCOCCCC,[2121]
-0.497,CCCCOCCOCCOC(C)=O,[2229]
-1.862,CCCCOCCOCCOCCCC,[2125]
-2.978,CCCCOP(=O)(OCCCC)OCCCC,[2240]
-3.475,CCCCOP(=O)(OCCCC)Oc1ccccc1,[2922]
-3.7,CCCCOc1cc(C(O)=NCCN(CC)CC)c2ccccc2n1,[1168]
-3.84,CCCCOc1ccc(C(=O)OCCN(CC)CC)cc1,[653]
-1.351,CCCC[N+](=O)[O-],[2705]
1.228,CCCN,[1962]
-6.541,CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],[3125]
-2.7030000000000003,CCCN(CCC)C(=O)SCC,[2759]
,CCCN(CCC)CCC,"[1060, 1889]"
-1.001,CCCN(CCC)N=O,[2677]
-7.43,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],[3131]
-5.76,CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],[2980]
-4.551,CCCN(CCCl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],[3149]
-4.044,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,[3276]
-2.539,CCCN=C(O)COC(=O)c1ccccc1,[3303]
,CCCN=C(O)NS(=O)(=O)c1ccc(Cl)cc1,"[1123, 1758]"
,CCCNCCC,"[923, 2304]"
-0.13,CCCOC(=N)O,[2707]
-3.504,CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,[2588]
,CCCOC(=O)c1cc(O)c(O)c(O)c1,"[305, 2183]"
-2.557,CCCOC(=O)c1ccc(O)cc1,[1755]
-2.67,CCCOC(=O)c1ccccc1,[1100]
-3.365,CCCOC(=O)c1ccccc1C(=O)OCCC,[2252]
