smiles,logS
OC(C(C)NC)c1ccccc1,-0.42
OC1CCCCC1,-0.44
CC(CC1CCCCN1)=O,-0.45
Oc1cccnc1,-0.46
O=C(c1cccnc1)OC,-0.46
Cc1ncnc2c1nccn2,-0.47
NCC(O)c1ccccc1,-0.48
O=C(C(CO)c3ccccc3)OC2CC1C(O4)C4C(C2)N1C,-0.48
O=COCCC,-0.49
NCCC(C(NC2CC(C(C(C2OC3OC(C(C(C3O)N)O)CO)O)OC1OC(C(C(C1O)O)O)CN)N)=O)O,-0.5
OCCC(C)(C)C,-0.5
n1c(c[nH]c1)CC(N)C(O)=O,-0.53
CCCC(O)C(CC)CO,-0.54
OC(C(N)CCC(N)=O)=O,-0.55
CC1CO1,-0.59
O=C1CCCCC1,-0.6
CC(OCC(OC(C)=O)COC(C)=O)=O,-0.6
CC(C)(C)C(O)C,-0.62
O=C1N(c2ccccc2)N(C)C(C)=C1N(C)C,-0.63
C(Cl)(Cl),-0.63
NC(OCCCC)=O,-0.66
CCOCCC,-0.66
O=C(CC)OCC,-0.66
Oc1cccc(C)c1,-0.68
O=CNc1ccccc1,-0.68
Oc1ccc(Cl)cc1,-0.7
Oc1cccc(Cl)c1,-0.7
Oc1ccc(C)cc1,-0.7
CC(C)C(O)CC,-0.7
OCCOc1ccccc1,-0.71
CC(O)C(C)CC,-0.72
CC(OCCC)=O,-0.72
CC(C)(O)C(C)(C)C,-0.72
Nc(cccc1)c1O,-0.72
OCCN(c1ccccc1)CCO,-0.73
O=C(C=C)OCC,-0.74
Oc1ccc(N(=O)=O)cc1,-0.74
O[NH]c1ccccc1,-0.74
NC(CC(N)C(O)=O)=O,-0.74
N#CC(c1ccccc1)OC(C(C(O)C2O)O)OC2COC(C(C(O)C3O)O)OC3CO,-0.77
CCOCCOCC,-0.77
c12ccccc1[nH]nn2,-0.78
Nc1ccc(O)cc1,-0.8
O=C(NC1=O)N(C=C1)C,-0.8
OC(CC)CCC,-0.8
C=C(C)C(OC)=O,-0.8
CC(C)(C)COC(=O)N,-0.8
O=C(OCC)CC(OCC)=O,-0.82
c1ccco1,-0.82
CCCC(OC)=O,-0.82
C=CCS(SCC=C)=O,-0.83
C=CC(CCC)=O,-0.83
O=C(O)c1cnccc1,-0.84
CCCCC=O,-0.85
CN(N=O)C(N)=O,-0.85
CCOC=C,-0.85
Cc1cc(N)ccc1,-0.85
CCC(O)(CC)CC,-0.85
OC(C(C(C(CO)O2)O)O)C2Oc1ccccc1CO,-0.85
O=Cc1c(O)cccc1,-0.86
Clc1nc(ncnc2)c2nc1,-0.87
CC(CC1)CCC1O,-0.88
CC(C(C(C)=O)CCC)=O,-0.88
ClCBr,-0.89
OC(Cc1ccccc1)=O,-0.89
CC(NC(N)=O)=O,-0.9
COc1nc(ncnc2)c2nc1,-0.91
CC(c1ccccc1)O,-0.92
CC(C)(O)CC(C)C,-0.92
O=C(CCC(OCC)=O)OCC,-0.96
CC=CCC#N,-0.96
NC(c1ccccc1)=O,-0.96
Oc1ccc(C=O)cc1,-0.96
O=C(N(C)c2c1n(C)cn2)N(C)C1=O,-0.97
CC(Nc1ccc(N)cc1)=O,-0.98
O=C(C=C1)C=CC1=O,-0.99
CCCCOC,-0.99
CI,-1.0
CCC(C)(O)CCC,-1.0
O=COCC(C)C,-1.01
O=C(Nc(cc1)ccc1O)C,-1.03
c12ccccc1NCC2,-1.04
O=C(NC=C1F)NC1=O,-1.07
CC(C)(O)CCCC,-1.08
Brc1ccc(O)cc1,-1.09
CCBr,-1.09
CC(C)OC(C)C,-1.1
O=C(O)COc1ccccc1,-1.1
COc2ncc1nccnc1n2,-1.11
COc2c1nccnc1ncn2,-1.11
NCCc1ccc(O)cc1,-1.12
OC(C(CC(C)CC1C)C1=O)CC(CC2=O)CC(N2)=O,-1.13
CC(C)CCCO,-1.14
NC1=NC(NC=C1)=O,-1.14
c12c(cccc2)nco1,-1.16
S(=O)(CCCl)CCCl,-1.16
CCC(CO)CC,-1.17
ClC(Cl)(Cl),-1.17
Oc1ccc(C)cc1C,-1.19
O=C(c1ccccc1),-1.19
OCc1ccc(C)cc1,-1.2
O=C(OC)C(C2C(OC)=O)C1CC2C=C1,-1.2
O=C(C=C)OCC(C)C,-1.21
CC(C)(NCC(c1cc(CO)c(O)cc1)O)C,-1.22
CC(C)C(O)C(C)C,-1.22
O=C(O)C(N)Cc1c[nH]c2c1cccc2,-1.23
O=S(NC(C)=O)(c1ccc(N)cc1)=O,-1.23
CC(OCCCC)=O,-1.24
CCCCCCO,-1.24
O=C(C(N1)=O)C(NC1=O)=O,-1.25
CC(C)(C)C(C)(O)CC,-1.27
CC(c1ccccc1)=O,-1.28
CC(c1cc(N)ccc1)=O,-1.28
CCCC(OCC)=O,-1.28
CC(Cl)Cl,-1.29
CC(Nc1ccc(OC)cc1)=O,-1.3
c1(cccn2)c2cccc1,-1.3
CCCCCC=O,-1.3
BrCCCl,-1.32
CC(Nc1ccccc1)=O,-1.33
CC(CCC(C)C)=O,-1.33
CCc(cccc1)c1O,-1.36
CCCCC(OC)=O,-1.36
N=C(N)NN(=O)=O,-1.37
Clc1cc(N)ccc1,-1.37
OCCCc1ccccc1,-1.38
CC(O)CCC(C)C,-1.38
O=C(C(CC)(CC)C(N1)=O)NC1=O,-1.39
Cc1cc(C)cc(O)c1,-1.4
O=C(c(cc1)ccc1N)OCCN(CC)CC,-1.4
CC(Nc(cccc1)c1Cl)=O,-1.4
CCCC(O)CCC,-1.4
O=C(O)CCc1ccccc1,-1.41
CC(CCCCC)=O,-1.42
c1(c2ncccc2)ccccn1,-1.42
Cc(c(O)ccc1)c1C,-1.43
CCCCNCCCC,-1.44
c1cccs1,-1.45
c1(ccnc2)c2cccc1,-1.45
O=C(O)c1cscc1,-1.47
ClCCC,-1.47
ClC(Cl)CCl,-1.48
O=Cc1ccc(OC)cc1,-1.49
S(=O)(=O)(CCCl)CCCl,-1.5
O=C(O)CNC(N)=N,-1.51
c1(cccc2)c2[nH]cc1,-1.52
OCC(C)(C)CCC,-1.52
OC(c1ccccc1N)=O,-1.52
OC(C=C4)C2C5(C4C(N(C)CC5)C3)c1c3ccc(OC)c1O2,-1.52
NCc1ccccc1,-1.53
c1(c2ccncc2)ccncc1,-1.54
Oc1cc(C)ccc1C,-1.54
OCCCC(C)(C)C,-1.55
OC(c1ccccc1)=O,-1.55
CN1CCCCC1C(Nc2c(C)cccc2C)=O,-1.55
CSc1nc(ncnc2)c2nc1,-1.55
Clc(cc(Cl)cc1)c1O,-1.55
CCCCCC(O)C,-1.55
CCCCC(=O)CC(=O)C,-1.56
Oc1c(OC)cc(CC=C)cc1,-1.56
CN2C(NC(N1)=C(C2=O)NC1=O)=O,-1.56
Cc(cc(O)cc1)c1Cl,-1.57
CNC(Oc1c(C2OCCO2)cccc1)=O,-1.57
CC(Nc(cc1)ccc1C=O)=O,-1.58
O=C(c1ccc(N)cc1)OC,-1.59
C1(c2ccccc2)CO1,-1.6
CC(Cl)CCl,-1.6
O=C(CC(C)=O)CC(C)C,-1.6
Cc1c(N(C(C(OC)=O)C)C(COC)=O)c(C)ccc1,-1.6
FC(F)(F)c1c(C(O)=O)cccc1,-1.6
OCC(C)CC(C)C,-1.6
O=C(Nc1ccccc1)N(C)C,-1.6
NS(=O)(c(cc1)ccc1NC(C)=O)=O,-1.61
OC(C2OC(C)=O)CNC2Cc1ccc(OC)cc1,-1.61
CNC(ON=C(C(C)(C)C)CSC)=O,-1.62
O=C(N(CC=C)CC=C)C(Cl)Cl,-1.62
ClCCCCl,-1.62
CCCOCCC,-1.62
O=Cc1cc(OCO2)c2cc1,-1.63
c1ccccc1,-1.64
C=C(Cl)Cl,-1.64
O=S(c1ccccc1C2=O)(N2)=O,-1.64
CC2(CC1)CCC1C(O2)(C)C,-1.64
O=C(N1)NC(C(CCCC)(CC)C1=O)=O,-1.64
Clc1ccc(N)cc1,-1.66
CC(COC(N)=O)(CCC)COC(N)=O,-1.67
CC(OC1CCCCC1)=O,-1.67
O=N(=O)c1cc(C(O)=O)ccc1,-1.68
BrCCBr,-1.68
O=C(O)c1c(OC)c(Cl)ccc1Cl,-1.7
CCNc1ccccc1,-1.7
CCCCCCC=O,-1.7
FC(F)(F)C(Cl)Br,-1.71
O=C(N1)NC(C(C(C)C)(CC=C)C1=O)=O,-1.71
CC(O)(C)CCCCC,-1.72
CC(O)C(C)CCCC,-1.72
O=C1C=CC(c2cc(ccc2O)O)(C=C1)O,-1.73
BrCCC,-1.73
Oc1ccccc1N(=O)=O,-1.74
ClC(Cl)C(Cl)Cl,-1.74
NS(=O)(c1ccc(C)cc1)=O,-1.74
CCCCC(OCC)=O,-1.75
CSc2ncc1nccnc1n2,-1.76
NC(c(cccc1)c1O)=O,-1.76
Cc1c(NC(CN(CC)CC)=O)c(C)ccc1,-1.76
CC=CC=CC(O)=O,-1.77
NC(Nc1ccccc1)=S,-1.77
O=C(CS1)NC1=S,-1.77
Oc1ccc(C(OC)=O)cc1,-1.78
O=C(OCCC)c1cc(O)c(O)c(O)c1,-1.78
CC(Nc(cc1)ccc1F)=O,-1.78
O=N(=O)c1ccccc1,-1.8
O=C(NC)Oc1cc(C)ccc1,-1.8
Fc1ccccc1,-1.8
CCCCCCCO,-1.81
Oc1ccccc1C(O)=O,-1.82
O=C(c1ccccc1)CC,-1.83
CC(N=C1SC(S(N)(=O)=O)=NN1C)=O,-1.83
CC15C(O)C=CC2(OC5=O)C1C(C(O)=O)C3(CC4=C)C2CCC4(O)C3,-1.84
CCCCOCCCC,-1.85
COc1ccccc1,-1.85
O=C(O)C(CCC)CCC,-1.86
O=C(C=C3)CC(C34CC2)(CCN4C)c1c2ccc(OC)c1O,-1.87
O=C1CC(C)CCC1,-1.87
C12CCCCN1CC(C(CCCC4)N4C3)CC23,-1.89
O=C(OCCCCC)C,-1.89
O=C(OCC)C1(c2ccccc2)CCN(C)CC1,-1.89
COc1c(C2=O)c(CO2)ccc1OC,-1.89
O=C(O)CCCCCCCC(O)=O,-1.89
ClC(Br)(Br),-1.9
C(Br)(Br)Br,-1.91
CN1C2CCC1CC(OC(C(CO)c3ccccc3)=O)C2,-1.91
CC(Nc(cc1)ccc1OC(C)=O)=O,-1.91
CCCC(OCCC)=O,-1.92
O=C(c(c(C=O)ccc1OC)c1OC)O,-1.92
NC(OCCCCCC)=O,-1.92
CN(C)c1ccccc1,-1.92
O=C(CC)Nc1ccccc1,-1.92
CC(OCCC(C)C)=O,-1.92
O=C(C(NC1=O)=CC(N1)=O)O,-1.93
OC(c1ccccc1)C(c2ccccc2)O,-1.93
O=S(c1ccc(N)cc1)(Nc2nnc(CC)s2)=O,-1.94
Cc(cc2)cc1c2ccc(C)n1,-1.94
CN(C)c1nc(C)c(C)c(OC(N(C)C)=O)n1,-1.95
COc(cccc1)c1N(=O)=O,-1.96
O=C(O)C=Cc1c[nH]cn1,-1.96
CC(Cl)CC,-1.96
Nc1ccccc1N(=O)=O,-1.96
C1=CCC=CC1,-1.97
Oc(cc2)cc1c2CCCC1,-1.99
CC(Cl)(Cl)Cl,-2.0
Cc1ccccc1S(N)(=O)=O,-2.02
ClCCCC,-2.03
CC(CCCCCC)=O,-2.05
O=C(NC)Oc(cccc1)c1OC(C)C,-2.05
O=S(c1ccc(C(C)=O)cc1)(NC(NC2CCCCC2)=O)=O,-2.06
C=C(C(O)=O)c1ccccc1,-2.06
CC1=CCC(C(C)=C)CC1=O,-2.06
O=C(c(cccc1)c1C)O,-2.06
c1ccc2C(O)N3CCC(O)C3=Nc2c1,-2.07
OC(Cc1c[nH]c2c1cccc2)=O,-2.07
CC(c1cc(O)c(C)cc1)C,-2.08
CC(Nc1cc(C)ccc1)=O,-2.09
O=C(N(C)C)Oc1cc(C)nn1c2ccccc2,-2.09
CC(I)C,-2.09
C=CCC=C,-2.09
CC(O)CCCCCC,-2.09
O=C(C5)N(C4C2(CC7)C(N7C6)CC3C6=CCOC5C34)c1c2cc(OC)c(OC)c1,-2.09
OCc(c(Cl)ccc1)c1Cl,-2.1
OCC(CC)CCCC,-2.11
OC(c1ccccc1C(O)=O)=O,-2.11
CN1C2CCC1CC(OC(C(CO)c3ccccc3)=O)C2,-2.12
Sc1ccccc1,-2.12
Nc1ncnc2c1nc[nH]2,-2.12
CN(CN(C)CS1)C1=S,-2.13
O=C(c1cc(C)ccc1)O,-2.14
c1ccc2C=CC(=O)Nc2c1,-2.14
O=C1NCCN1C(NCC(C)C)=O,-2.15
C1=CC=CC=CC1,-2.15
O=C(O)COc(cccc1)c1Cl,-2.16
Oc(cc2)cc1c2nccc1,-2.16
O=C(N1)NC(C(C2=CCCCC2)(CC)C1=O)=O,-2.17
NC(Nc1ccc(OCC)cc1)=O,-2.17
O=C(N1)NC(C(c2ccccc2)(CC=C)C1=O)=O,-2.18
O=S(NC(NCCCC)=O)(c(cc1)ccc1N)=O,-2.18
ClC(Cl)(Cl)CCl,-2.18
O=N(c1ccc(C=NO)o1)=O,-2.19
Nc1cccc(N(=O)=O)c1,-2.19
O=C(N1)NC(C(C(C)C)(CC)C1=O)=O,-2.21
Cc1ccccc1,-2.21
OC(c1ccccc1)(c2ccccc2)C(O)=O,-2.21
Oc2cccc1ccccc12,-2.22
Cc1cc(O)c(C(C)C)cc1,-2.22
OC(C(C)Oc1ccccc1Cl)=O,-2.22
O=N(OCC(ON(=O)=O)CON(=O)=O)=O,-2.22
O=C(N1C)NC(C(CC)(CC)C1=O)=O,-2.23
O=C(O)COc(ccc(Cl)c1)c1C,-2.23
CCCCc(c(O)nc(N(C)C)n1)c1C,-2.24
Cc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1,-2.24
CC(Nc(cccc1)c1O)=O,-2.24
S=C(NC=C1)NC1=O,-2.26
Oc2cc1ccccc1cc2,-2.28
O=C(NC1=O)C(N(=O)=O)C(N1)=O,-2.28
ICCC,-2.29
CCCCCCCC(O)=O,-2.3
S=P(OCC)(OCC)Oc1ccc(S(C)=O)cc1,-2.3
Fc1c(F)c(F)cc(F)c1,-2.31
ClC(Cl)(Cl)Cl,-2.31
O=C(OCC)c1ccccc1,-2.32
CC1(C)C2CCC1(C)C(O)C2,-2.32
Nc1ccc(S(=O)(Nc2ccnn2c3ccccc3)=O)cc1,-2.32
O=C(c(cc1)ccc1N)OCCC,-2.33
O=C(NN)Nc1ccccc1,-2.33
Oc1c(cccc1)C(OC)=O,-2.34
Oc(c(Cl)cc(Cl)c1)c1Cl,-2.34
CCC(CCC2=O)(c1ccccc1)C(N2)=O,-2.34
Nc1c(CC)cccc1CC,-2.35
O=C(OCC)c1ccccc1C(OCC)=O,-2.35
O=C(c1ccc(O)cc1)OCC,-2.35
CCCCCCCC=O,-2.36
C#CCCCC,-2.36
O=C(NC1CCCCCCC1)N(C)C,-2.36
CSc2c1nccnc1ncn2,-2.36
S=C2N=CC1=C(N2)N=CC=N1,-2.36
CCOc1ccc(NC(C)=O)cc1,-2.37
CCCCBr,-2.37
Clc1ccccc1,-2.38
BrC(CCl)CBr,-2.38
N#Cc1ccccc1C#N,-2.38
Oc1c(cn[nH]2)c2ncn1,-2.38
ClCc1ccccc1,-2.39
Oc(cccc2)c2c1ccccc1,-2.39
CSc1ccccc1,-2.39
ClC(Cl)CCC,-2.4
O=C(c(cc1)ccc1OC)OC,-2.41
Cc1nnc(NS(=O)(c2ccc(N)cc2)=O)s1,-2.41
O=N(c1ccc(OC)cc1)=O,-2.41
Cc1c[nH]c2c1cccc2,-2.42
CC(C)CBr,-2.43
S=C(NC(C)=C1)NC1=O,-2.43
Nc1ccc(S(Nc2nccs2)(=O)=O)cc1,-2.43
O=C(C(S(=O)(CCO2)=O)=C2C)Nc1ccccc1,-2.43
O=N(c1cc(C)ccc1)=O,-2.44
O=S(c1ccc(N)cc1)(Nc2nc(C)c(C)o2)=O,-2.44
n(cc(c(n1)O)C)c1S,-2.45
CC(C(O)=O)Oc(ccc(Cl)c1)c1Cl,-2.45
O=C(O)c1c(Cl)c(N)cc(Cl)c1,-2.47
O=C(N1C(C)(C)C)C(Cl)=C(C)NC1=O,-2.48
OC(C=Cc1ccccc1)=O,-2.48
O=C(CCl)N(C(C)C)c1ccccc1,-2.48
Clc1c(OCC(O)=O)ccc(Cl)c1,-2.51
O=C2c1c(O)ccc(Cl)c1C(O)C3C2=C(O)C(C(C(C(N)=O)=C(O)C4N(C)C)=O)(O)C4C3,-2.52
CC(C(C(NC1=O)=O)(C(N1)=O)CC)CCC,-2.52
COc1c(O)cc(Cl)c(Cl)c1,-2.53
CC=CCC,-2.54
ClCc(cc1)ccc1F,-2.54
Oc1c(cccn2)c2ccc1,-2.54
COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1,-2.54
Clc1cc(C)c(OC(C)C(O)=O)cc1,-2.55
CC1=C(C(Nc2ccccc2)=O)CCCO1,-2.56
O=C(N1)NC(C(CCC(C)C)(CC)C1=O)=O,-2.57
COc1cnc(NS(=O)(c2ccc(cc2)N)=O)nc1,-2.58
CC(CCCCCCC)=O,-2.58
C1=CCCCC1,-2.59
OC(c1cc(Cl)ccc1)=O,-2.59
CCc1cccs1,-2.59
C1(CN(c3ccccc3)Cc2ccccc2)=NCCN1,-2.6
C(Cl)(Cl)C(Cl)(Cl)Cl,-2.6
COc1ccc(C(C2CC2)(c3cncnc3)O)cc1,-2.6
OC(CN1C(Sc2c1c(Cl)ccc2)=O)=O,-2.61
O=S(Nc1noc(C)c1)(c2ccc(N)cc2)=O,-2.62
NC(OCCCCCCC)=O,-2.62
O=S(c1c2cc(Cl)c(S(N)(=O)=O)c1)(NCN2)=O,-2.62
C12C(ON(=O)=O)COC1C(ON(=O)=O)CO2,-2.63
O=C(c1ccc(N)cc1)CC,-2.63
CC(Cl)CCC,-2.63
C1CCCC1,-2.64
CN(CCN(c2ncccc2)Cc1ccccc1)C,-2.64
CN(C)CCN(c2ccccn2)Cc1cccs1,-2.64
OC(Cc2cccc1ccccc12)=O,-2.65
CC(C)N2C(c1ccccc1NS2(=O)=O)=O,-2.68
C=CCCC=C,-2.68
C=CCCC,-2.68
c12c(cccn3)c3ccc1cccn2,-2.68
CC(Nc1ccc(N(=O)=O)cc1)=O,-2.69
ClC(C(C)(Cl)C)C,-2.69
CC(Cl)C(Cl)C,-2.7
Nc(cc2)ccc2c1ccc(N)cc1,-2.7
O=C(O)CCCCCCCCCCN,-2.7
CCCCCCC(OCC)=O,-2.71
c1cc(OCC)ccc1C(=O)OCCN(CC)CC,-2.71
Oc1ccc(C(OCCCC)=O)cc1,-2.72
OC(c1ccccc1I)=O,-2.73
O=C(N(c1c(C)cccc1CC)C(C)COC)CCl,-2.73
CCCCCCl,-2.73
O=C(N1C)NC(C(C2=CCCCC2)(C)C1=O)=O,-2.74
CCCCCCCCC(O)=O,-2.75
O=C(c(nc(Cl)c(Cl)c1N)c1Cl)O,-2.75
C(C2)(C=C)C1CC(C(O)c3ccnc4c3cc(OC)cc4)N2CC1,-2.76
S=C2C1=C(N=CN2)N=CC=N1,-2.77
c12c(cccc3)c3ncc1cccc2,-2.78
Clc(c(C)cc(O)c1)c1C,-2.8
Cc1c(C)cccc1,-2.8
O=C(NCc2ccccc2)Cn1c(N(=O)=O)ncc1,-2.81
CN2C(ON(C2=O)c1ccc(c(Cl)c1)Cl)=O,-2.82
Cc1cc(C)ccc1,-2.82
OC4C13C(C5N(C(O)C6CC)C(C4C6C5)C3)N(C)c2c1cccc2,-2.82
O=S(c1ccc(N)cc1)(c2ccc(N)cc2)=O,-2.82
CC(Nc1ccc(Cl)cc1)=O,-2.84
Cc1nc(NS(=O)(c2ccc(cc2)N)=O)ncc1,-2.85
Nc1ncc(Cc2cc(OC)c(OC)c(OC)c2)c(N)n1,-2.86
O=C(O)C(N)Cc1cc(I)c(O)c(I)c1,-2.86
O=C(C(C4=O)=C(O)C(N(C)C)C3C(O)C2C(C)c1c(C(C2=C(O)C34O)=O)c(O)ccc1)N,-2.87
O=C1C(Cl)=C(N)C=NN1c2ccccc2,-2.87
CN(C2C1CC4C(C(c3c(C4(O)C)c(Cl)ccc3O)=O)=C(C1(C(C(C(N)=O)=C2O)=O)O)O)C,-2.88
O=C(N(C)C)Nc1ccc(Cl)cc1,-2.89
CC(C)CCBr,-2.89
O=S(Nc(onc2C)c2C)(c1ccc(N)cc1)=O,-2.91
Oc1c(cccc2O)c2ccc1,-2.92
C=CCc1ccc(OC)cc1,-2.92
NC(c(cccc1)c1C(N)=O)=O,-2.92
O=C(N(C)C)Nc1cc(OC(NC(C)(C)C)=O)ccc1,-2.93
O=C2c1c(O)cc(OC)cc1Oc(cc3)c2cc3O,-2.93
CCCCI,-2.96
COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(OC)n1,-2.96
O=C(N(C)C)C(c2ccccc2)c1ccccc1,-2.98
O=C(OCC)C=Cc1ccccc1,-3.0
O=C(CC)Nc1cc(Cl)c(Cl)cc1,-3.0
O=C(N1)NC(C(C2=CCCCCC2)(CC)C1=O)=O,-3.0
CCCCCCCCCO,-3.01
O=C(NC1C2C3CCCC3C(C1)C2)N(C)C,-3.01
C#CCCCCC,-3.01
CCCCc1c(O)nc(NCC)nc1C,-3.02
CCN(c1ccccc1)CC,-3.03
O=C([NH]O)C(c1ccc(CC(C)C)cc1)C,-3.04
CC(C)Nc1nc(NCC)nc(SC)n1,-3.04
O=S(c1c2cc(Cl)c(S(N)(=O)=O)c1)(NC=N2)=O,-3.05
O=S(c1ccccc1)(NC(NCCCC)=O)=O,-3.05
Clc1c(Cl)cccc1,-3.05
OC(c2c(cccc4)c4ncc2)C1N(CC3)CC(C=C)C3C1,-3.07
BrCCCCC,-3.07
Oc(cc(O)cc3)c3C2=C(O)C(c1c(O)cc(O)cc1O2)=O,-3.08
OC(C3N4CC(C=C)C(CC4)C3)c1ccnc2c1cccc2,-3.09
CC1(CCC2C3C)C=CC(C(C)=C1C2OC3=O)=O,-3.09
CCc1ccc(C)cc1,-3.11
O=C1CCC2(C)C(CCC3C2C(CC4(C)C3CCC4(O)C(CO)=O)=O)=C1,-3.11
ClCCCCCC,-3.12
Oc1cccc3c1C(C2=C(O)C(C(C(C(N)=O)=C(O)C4N(C)C)=O)(O)C4CC2C3(O)C)=O,-3.12
CCCCN(CCCC)CCCC,-3.12
ClC(F)(F)C(F)(F)Cl,-3.12
O=C(c(cccc1)c1C(OCC=C)=O)OCC=C,-3.13
CC=Cc1ccc(OC)cc1,-3.13
Fc1ccc(I)cc1,-3.13
OC(C2(C(C(O)=C1C(N)=O)N(C)C))(C(O)=C(C3=O)C(C2O)(C(C)(O)c4c3c(O)ccc4))C1=O,-3.14
BrC(Br)(Br)Br,-3.14
COc1c(C(C4c(ccc(OC)c5OC)c5C(O4)=O)N(C)CC3)c3cc2c1OCO2,-3.14
O=C(C(SCCO2)=C2C)Nc1ccccc1,-3.14
Clc1nc(NC(C)(C)C#N)nc(NCC)n1,-3.15
O=C(Nc2ccccc2)Nc1ccccc1,-3.15
O=C(c(cccc2)c2O)Oc1ccccc1,-3.15
CCN(CCNC(c1c(OC)cc(N)c(Cl)c1)=O)CC,-3.18
Sc2nc1ccccc1s2,-3.18
CCCCC,-3.18
Cc(c(C)ccc1)c1C,-3.2
Brc1cc(Cl)ccc1,-3.21
CCc(cccc1)c1C,-3.21
O=C(O)C(c2ccccc2)c1ccccc1,-3.22
IC=CI,-3.22
C=CCCCC,-3.23
Clc(cc(N)cc1)c1Cl,-3.24
CC(Nc1c(C)cc(C)c(NS(=O)(C(F)(F)F)=O)c1)=O,-3.24
CC(Nc(cc1)ccc1I)=O,-3.25
O=C(N(c1c(CC)cccc1CC)COC)CCl,-3.26
O=C(c(cc1)ccc1N)OCCCCC,-3.26
COC(c1c(Cl)c(N)cc(Cl)c1)=O,-3.26
O=C(OCCNCCCCC)c(cc1)ccc1N,-3.27
O=C(c1cc(I)ccc1)O,-3.27
CC1=CCCCC1,-3.27
CC(C)c1ccccc1,-3.27
COc1nnc(NS(=O)(c2ccc(cc2)N)=O)cc1,-3.28
O=C(NC)Oc1c(cccc2)c2ccc1,-3.28
CC1CCCC1,-3.3
Cc1c(C(Nc2ccccc2)=O)cco1,-3.3
O=C(c(cc1I)c(c(I)c1)O)O,-3.31
O=C(c1ccc(Cl)cc1)O,-3.31
CC(CCCCCCCC)=O,-3.31
Cc(cc(C)cc1)c1C,-3.31
O=C(C5)N(C4C2(CC7)C(N7C6)CC3C6=CCOC5C34)c1c2cccc1,-3.32
